neighborhood,cd,borough,area_km2,shooting_incident_count_2024,shooting_density_per_km2
BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN,12.230775785367017,12.0,0.9811315496729881
BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN,7.05326730424141,10.0,1.41778264861543
BK03 Bedford-Stuyvesant (CD 3 Approximation),BK03,BROOKLYN,7.264679470748309,34.0,4.6801789586041815
BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN,5.263301104795565,5.0,0.9499741512877417
BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN,15.371722565643388,40.0,2.6021807139170017
BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN,8.049412344565424,8.0,0.9938613724269221
BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN,9.805634284559714,0.0,0.0
BK08 Crown Heights (North) (CD 8 Approximation),BK08,BROOKLYN,4.360856595569753,21.0,4.815567661943792
BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN,4.0963293072875695,8.0,1.9529679866722653
BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN,10.145826507993739,0.0,0.0
BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN,9.571513305647738,1.0,0.10447668702606756
BK12 Borough Park-Kensington (CD 12 Approximation),BK12,BROOKLYN,9.388604749014737,0.0,0.0
BK13 Coney Island-Brighton Beach (CD 13 Approximation),BK13,BROOKLYN,8.473806321566922,4.0,0.47204288701046754
BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN,7.353028758826909,8.0,1.08798704076826
BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),BK15,BROOKLYN,11.671372872641104,4.0,0.34271889379666814
BK16 Ocean Hill-Brownsville (CD 16 Approximation),BK16,BROOKLYN,4.72650411751963,37.0,7.828195867396562
BK17 East Flatbush (CD 17 Approximation),BK17,BROOKLYN,8.71108525928093,28.0,3.214295253300196
BK18 Canarsie-Flatlands (CD 18 Approximation),BK18,BROOKLYN,23.16940406047322,17.0,0.7337262518979432
BK55 Prospect Park (JIA 55 Approximation),BK55,BROOKLYN,2.538850896442328,0.0,0.0
BK56 Jamaica Bay (West) (JIA 56 Approximation),BK56,BROOKLYN,10.47149717495814,0.0,0.0
BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),BX01,BRONX,5.411277665878775,42.0,7.761568079352905
BX02 Longwood-Hunts Point (CD 2 Approximation),BX02,BRONX,5.700004974450242,14.0,2.456138207379421
BX03 Morrisania-Crotona Park East (CD 3 Approximation),BX03,BRONX,4.285443415438784,38.0,8.86722710259125
BX04 Highbridge-Concourse (CD 4 Approximation),BX04,BRONX,5.372822596615396,36.0,6.700388734717978
BX05 Morris Heights-Mount Hope (CD 5 Approximation),BX05,BRONX,3.688084073649588,47.0,12.743744193849297
BX06 Tremont-Belmont-West Farms (CD 6 Approximation),BX06,BRONX,4.080718124133182,28.0,6.861537393237056
BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),BX07,BRONX,5.443417500764261,13.0,2.388205570889021
BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),BX08,BRONX,8.01434853089909,6.0,0.7486572335689137
BX09 Soundview-Parkchester (CD 9 Approximation),BX09,BRONX,10.44319478900078,20.0,1.9151227573639493
BX10 Co-op City-Throgs Neck (CD 10 Approximation),BX10,BRONX,16.060498688894537,4.0,0.24905826882984072
BX11 Pelham Parkway-Morris Park (CD 11 Approximation),BX11,BRONX,9.422339366300228,11.0,1.1674383157268147
BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),BX12,BRONX,13.95137183653938,18.0,1.2901957033972136
BX26 Van Cortlandt Park (JIA 26 Equivalent),BX26,BRONX,4.706343511677337,0.0,0.0
BX27 Bronx Park (JIA 27 Approximation),BX27,BRONX,3.108628460018795,0.0,0.0
BX28 Pelham Bay Park (JIA 28 Approximation),BX28,BRONX,9.22357816640541,0.0,0.0
MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN,4.161890212499567,1.0,0.24027543950983163
MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN,3.524420832473445,3.0,0.8512036849738499
MN03 Lower East Side-Chinatown (CD 3 Equivalent),MN03,MANHATTAN,4.366125895099494,14.0,3.206503966299618
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN,4.464369099448424,8.0,1.7919665291537847
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN,3.66331215950583,3.0,0.8189310300011919
MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN,4.004357464026675,1.0,0.24972795485506602
MN07 Upper West Side (CD 7 Approximation),MN07,MANHATTAN,5.054715663802368,7.0,1.384845452362064
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,MANHATTAN,5.129295060788912,3.0,0.5848756923604596
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),MN09,MANHATTAN,3.9614965228474537,10.0,2.5242985680603796
MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN,3.550685579490432,29.0,8.16743678108549
MN11 East Harlem (CD 11 Equivalent),MN11,MANHATTAN,6.153880420832919,27.0,4.387475568845322
MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN,7.246168324945305,17.0,2.346067499077634
MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN,3.559339126342401,0.0,0.0
QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS,16.1622331719826,5.0,0.30936318928176043
QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS,12.200252418125283,5.0,0.4098275862368027
QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,QUEENS,7.621925618634138,5.0,0.6560022034032928
QN04 Elmhurst-Corona (CD 4 Approximation),QN04,QUEENS,6.143482198096731,1.0,0.16277413488880996
QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS,20.341395861328706,2.0,0.09832166944856652
QN06 Forest Hills-Rego Park (CD 6 Approximation),QN06,QUEENS,7.260180630895078,0.0,0.0
QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS,30.631526701440414,5.0,0.16323051895956855
QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),QN08,QUEENS,18.770522349207024,4.0,0.21310008989541962
QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS,10.053837657195306,8.0,0.7957160512010635
QN10 South Ozone Park-Howard Beach (CD 10 Approximation),QN10,QUEENS,15.923350299824907,3.0,0.18840256249546855
QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),QN11,QUEENS,24.13534961292614,1.0,0.04143300246475117
QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS,24.69865373349759,27.0,1.0931769922091423
QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),QN13,QUEENS,32.82326571652661,13.0,0.3960605295119815
QN14 The Rockaways (CD 14 Approximation),QN14,QUEENS,17.571736821064764,18.0,1.0243722736856518
QN80 LaGuardia Airport (JIA 80 Approximation),QN80,QUEENS,2.842085180173605,0.0,0.0
QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),QN81,QUEENS,5.128968225666191,1.0,0.1949709875362139
QN82 Forest Park (JIA 82 Approximation),QN82,QUEENS,2.2305842649392544,0.0,0.0
QN83 JFK International Airport (JIA 83 Approximation),QN83,QUEENS,18.31952914966558,0.0,0.0
QN84 Jamaica Bay (East) (JIA 84 Approximation),QN84,QUEENS,11.385753885782723,0.0,0.0
SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND,35.05084301434401,10.0,0.28529984274294506
SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND,56.31497694136,1.0,0.017757265550180125
SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND,55.316182796696694,0.0,0.0
SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),SI95,STATEN ISLAND,4.157266993584571,0.0,0.0
