station_name,latitude,longitude,routes,neighborhood,cd,borough
Astoria-Ditmars Blvd,40.775036,-73.912034,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
Astoria Blvd,40.770258,-73.917843,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
30 Av,40.766779,-73.921479,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
Broadway,40.76182,-73.925508,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
36 Av,40.756804,-73.929575,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
39 Av-Dutch Kills,40.752882,-73.932755,N W,QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS
Lexington Av/59 St,40.76266,-73.967258,N R W,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,MANHATTAN
5 Av/59 St,40.764811,-73.973347,N R W,MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN
57 St-7 Av,40.764664,-73.980658,N Q R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
49 St,40.759901,-73.984139,N R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
Times Sq-42 St,40.754672,-73.986754,N Q R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
34 St-Herald Sq,40.749567,-73.98795,N Q R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
28 St,40.745494,-73.988691,R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
23 St,40.741303,-73.989344,R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
14 St-Union Sq,40.735736,-73.990568,N Q R W,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
8 St-NYU,40.730328,-73.992629,R W,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
Prince St,40.724329,-73.997702,R W,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
Canal St,40.719527,-74.001775,R W,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
Canal St,40.718383,-74.00046,N Q,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
City Hall,40.713282,-74.006978,R W,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Cortlandt St,40.710668,-74.011029,R W,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Rector St,40.70722,-74.013342,R W,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Whitehall St-South Ferry,40.703087,-74.012994,R W,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Court St,40.6941,-73.991777,R,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN
Jay St-MetroTech,40.69218,-73.985942,R,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN
DeKalb Av,40.690635,-73.981824,B Q R,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN
Atlantic Av-Barclays Ctr,40.683666,-73.97881,D N R,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN
Union St,40.677316,-73.98311,R,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN
4 Av-9 St,40.670847,-73.988302,R,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN
Prospect Av,40.665414,-73.992872,R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
25 St,40.660397,-73.998091,R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
36 St,40.655144,-74.003549,D N R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
45 St,40.648939,-74.010006,R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
53 St,40.645069,-74.014034,R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
59 St,40.641362,-74.017881,N R,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
Bay Ridge Av,40.634967,-74.023377,R,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN
77 St,40.629742,-74.02551,R,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN
86 St,40.622687,-74.028398,R,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN
Bay Ridge-95 St,40.616622,-74.030876,R,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN
Atlantic Av-Barclays Ctr,40.68446,-73.97689,B Q,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN
7 Av,40.67705,-73.972367,B Q,BK08 Crown Heights (North) (CD 8 Approximation),BK08,BROOKLYN
Prospect Park,40.661614,-73.962246,B Q S,BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN
Parkside Av,40.655292,-73.961495,Q,BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN
Church Av,40.650527,-73.962982,B Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Beverley Rd,40.644031,-73.964492,Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Cortelyou Rd,40.640927,-73.963891,Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Newkirk Plaza,40.635082,-73.962793,B Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Avenue H,40.62927,-73.961639,Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Avenue J,40.625039,-73.960803,Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Avenue M,40.617618,-73.959399,Q,BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN
Kings Hwy,40.60867,-73.957734,B Q,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),BK15,BROOKLYN
Avenue U,40.5993,-73.955929,Q,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),BK15,BROOKLYN
Neck Rd,40.595246,-73.955161,Q,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),BK15,BROOKLYN
Sheepshead Bay,40.586896,-73.954155,B Q,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),BK15,BROOKLYN
Brighton Beach,40.577621,-73.961376,B Q,BK13 Coney Island-Brighton Beach (CD 13 Approximation),BK13,BROOKLYN
Ocean Pkwy,40.576312,-73.968501,Q,BK13 Coney Island-Brighton Beach (CD 13 Approximation),BK13,BROOKLYN
W 8 St-NY Aquarium,40.576127,-73.975939,F Q,BK13 Coney Island-Brighton Beach (CD 13 Approximation),BK13,BROOKLYN
Coney Island-Stillwell Av,40.577422,-73.981233,D F N Q,BK13 Coney Island-Brighton Beach (CD 13 Approximation),BK13,BROOKLYN
9 Av,40.646292,-73.994324,D,BK12 Borough Park-Kensington (CD 12 Approximation),BK12,BROOKLYN
Fort Hamilton Pkwy,40.640914,-73.994304,D,BK12 Borough Park-Kensington (CD 12 Approximation),BK12,BROOKLYN
50 St,40.63626,-73.994791,D,BK12 Borough Park-Kensington (CD 12 Approximation),BK12,BROOKLYN
55 St,40.631435,-73.995476,D,BK12 Borough Park-Kensington (CD 12 Approximation),BK12,BROOKLYN
62 St,40.626472,-73.996895,D,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
71 St,40.619589,-73.998864,D,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
79 St,40.613501,-74.00061,D,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
18 Av,40.607954,-74.001736,D,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
20 Av,40.604556,-73.998168,D,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
Bay Pkwy,40.601875,-73.993728,D,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
25 Av,40.597704,-73.986829,D,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
Bay 50 St,40.588841,-73.983765,D,BK13 Coney Island-Brighton Beach (CD 13 Approximation),BK13,BROOKLYN
8 Av,40.635064,-74.011719,N,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN
Fort Hamilton Pkwy,40.631386,-74.005351,N,BK12 Borough Park-Kensington (CD 12 Approximation),BK12,BROOKLYN
New Utrecht Av,40.624842,-73.996353,N,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
18 Av,40.620671,-73.990414,N,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
20 Av,40.61741,-73.985026,N,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
Bay Pkwy,40.611815,-73.981848,N,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
Kings Hwy,40.603923,-73.980353,N,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
Avenue U,40.597473,-73.979137,N,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN
86 St,40.592721,-73.97823,N,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),BK15,BROOKLYN
121 St,40.700492,-73.828294,J Z,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS
111 St,40.697418,-73.836345,J,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS
104 St,40.695178,-73.84433,J Z,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS
Woodhaven Blvd,40.693879,-73.851576,J Z,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS
85 St-Forest Pkwy,40.692435,-73.86001,J,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS
75 St-Elderts Ln,40.691324,-73.867139,J Z,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS
Cypress Hills,40.689941,-73.87255,J,BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN
Crescent St,40.683194,-73.873785,J Z,BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN
Norwood Av,40.68141,-73.880039,J Z,BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN
Cleveland St,40.679947,-73.884639,J,BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN
Van Siclen Av,40.678024,-73.891688,J Z,BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN
Alabama Av,40.676992,-73.898654,J Z,BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN
Broadway Junction,40.679498,-73.904512,J Z,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
Chauncey St,40.682893,-73.910456,J Z,BK16 Ocean Hill-Brownsville (CD 16 Approximation),BK16,BROOKLYN
Halsey St,40.68637,-73.916559,J,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
Gates Av,40.68963,-73.92227,J Z,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
Kosciuszko St,40.693342,-73.928814,J,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
Myrtle Av,40.697207,-73.935657,M J Z,BK03 Bedford-Stuyvesant (CD 3 Approximation),BK03,BROOKLYN
Flushing Av,40.70026,-73.941126,M J,BK03 Bedford-Stuyvesant (CD 3 Approximation),BK03,BROOKLYN
Lorimer St,40.703869,-73.947408,M J,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN
Hewes St,40.70687,-73.953431,M J,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN
Marcy Av,40.708359,-73.957757,M J Z,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN
Delancey St-Essex St,40.718315,-73.987437,M J Z,MN03 Lower East Side-Chinatown (CD 3 Equivalent),MN03,MANHATTAN
Bowery,40.72028,-73.993915,J Z,MN03 Lower East Side-Chinatown (CD 3 Equivalent),MN03,MANHATTAN
Canal St,40.718092,-73.999892,J Z,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
Chambers St,40.713243,-74.003401,J Z,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Fulton St,40.710374,-74.007582,J Z,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Broad St,40.706476,-74.011056,J Z,MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN
Middle Village-Metropolitan Av,40.711396,-73.889601,M,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS
Fresh Pond Rd,40.706186,-73.895877,M,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS
Forest Av,40.704423,-73.903077,M,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS
Seneca Av,40.702762,-73.90774,M,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS
Myrtle-Wyckoff Avs,40.69943,-73.912385,M,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
Knickerbocker Av,40.698664,-73.919711,M,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
Central Av,40.697857,-73.927397,M,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
8 Av,40.739777,-74.002578,L,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN
6 Av,40.737335,-73.996786,L,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
14 St-Union Sq,40.734789,-73.99073,L,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
3 Av,40.732849,-73.986122,L,MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN
1 Av,40.730953,-73.981628,L,MN03 Lower East Side-Chinatown (CD 3 Equivalent),MN03,MANHATTAN
Bedford Av,40.717304,-73.956872,L,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN
Lorimer St,40.714063,-73.950275,L,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN
Graham Av,40.714565,-73.944053,L,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN
Grand St,40.711926,-73.94067,L,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN
Montrose Av,40.707739,-73.93985,L,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN
Morgan Av,40.706152,-73.933147,L,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN
Jefferson St,40.706607,-73.922913,L,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
DeKalb Av,40.703811,-73.918425,L,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
Myrtle-Wyckoff Avs,40.699814,-73.911586,L,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
Halsey St,40.695602,-73.904084,L,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS
Wilson Av,40.688764,-73.904046,L,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
Bushwick Av-Aberdeen St,40.682829,-73.905249,L,BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN
Broadway Junction,40.678856,-73.90324,L,BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN
Atlantic Av,40.675345,-73.903097,L,BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN
Sutter Av,40.669367,-73.901975,L,BK16 Ocean Hill-Brownsville (CD 16 Approximation),BK16,BROOKLYN
Livonia Av,40.664038,-73.900571,L,BK16 Ocean Hill-Brownsville (CD 16 Approximation),BK16,BROOKLYN
New Lots Av,40.658733,-73.899232,L,BK16 Ocean Hill-Brownsville (CD 16 Approximation),BK16,BROOKLYN
East 105 St,40.650573,-73.899485,L,BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN
Canarsie-Rockaway Pkwy,40.646654,-73.90185,L,BK18 Canarsie-Flatlands (CD 18 Approximation),BK18,BROOKLYN
Franklin Av,40.680596,-73.955827,S,BK03 Bedford-Stuyvesant (CD 3 Approximation),BK03,BROOKLYN
Park Pl,40.674772,-73.957624,S,BK08 Crown Heights (North) (CD 8 Approximation),BK08,BROOKLYN
Botanic Garden,40.670343,-73.959245,S,BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN
Inwood-207 St,40.868072,-73.919899,A,MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN
Dyckman St,40.865491,-73.927271,A,MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN
190 St,40.859022,-73.93418,A,MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN
181 St,40.851695,-73.937969,A,MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN
175 St,40.847391,-73.939704,A,MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN
168 St,40.840719,-73.939561,A C,MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN
163 St-Amsterdam Av,40.836013,-73.939892,C,MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN
155 St,40.830518,-73.941514,C,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),MN09,MANHATTAN
145 St,40.824783,-73.944216,A C,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),MN09,MANHATTAN
135 St,40.817894,-73.947649,C B,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),MN09,MANHATTAN
125 St,40.811109,-73.952343,A C B D,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),MN09,MANHATTAN
116 St,40.805085,-73.954882,C B,MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN
Cathedral Pkwy (110 St),40.800603,-73.958161,C B,MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN
103 St,40.796092,-73.961454,C B,MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN
96 St,40.791642,-73.964696,C B,MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN
86 St,40.785868,-73.968916,C B,MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN
81 St-Museum of Natural History,40.781433,-73.972143,C B,MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN
72 St,40.775594,-73.97641,C B,MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN
59 St-Columbus Circle,40.768296,-73.981736,A C B D,MN07 Upper West Side (CD 7 Approximation),MN07,MANHATTAN
50 St,40.762456,-73.985984,C E,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN
42 St-Port Authority Bus Terminal,40.757308,-73.989735,A C E,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
34 St-Penn Station,40.752287,-73.993391,A C E,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN
23 St,40.745906,-73.998041,C E,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN
14 St,40.740893,-74.00169,A C E,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN
W 4 St-Wash Sq,40.732338,-74.000495,A C E,MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN
